M1_cf_face_right,M1_cf_lowerex_right,M1_cf_upperex_right,R_M1_hdp_face_right,R_M1_hdp_lowerex_right,R_M1_hdp_upperex_right,cerebellothalamic_right,gpe2stn_ass_right,gpe2stn_sm_right,medial_lemniscus_right
54.4,64.0,92.4,54.0,63.0,64.0,12.8,0.4,50.0,0.0
100.0,100.0,100.0,67.0,63.0,75.0,61.6,10.0,56.4,0.0
69.2,99.6,99.6,54.0,51.0,50.0,64.0,26.8,47.2,0.0
51.2,71.6,97.6,74.0,70.0,80.0,56.8,8.8,62.8,0.0
69.6,99.6,97.2,68.0,54.0,67.0,85.6,12.4,50.8,0.0
52.0,96.8,97.6,52.0,34.0,58.0,3.2,7.6,38.4,0.0
91.6,94.4,100.0,73.0,65.0,76.0,85.6,25.2,64.8,0.0
98.8,100.0,100.0,48.0,59.0,55.0,72.8,0.8,41.6,0.8
84.4,100.0,100.0,54.0,62.0,57.0,73.6,34.8,50.8,0.0
0.0,12.4,46.8,47.0,43.0,54.0,0.0,6.8,39.6,0.0
93.6,100.0,100.0,76.0,69.0,74.0,95.2,47.6,63.6,0.0
66.4,43.2,97.2,78.0,71.0,78.0,25.6,23.2,59.6,0.0
0.0,29.2,45.2,60.0,48.0,59.0,59.2,10.4,50.8,0.0
35.6,86.8,93.2,67.0,54.0,67.0,50.4,8.8,54.8,0.0
98.8,100.0,100.0,65.0,66.0,73.0,21.6,14.4,52.0,0.0
94.4,99.2,100.0,79.0,74.0,79.0,96.8,25.2,71.6,0.0
66.4,99.2,100.0,70.0,71.0,76.0,70.4,5.6,64.0,0.0
48.4,54.8,96.8,77.0,72.0,81.0,24.8,20.4,64.0,0.0
48.8,82.0,98.8,74.0,69.0,78.0,75.2,7.6,68.8,0.0
99.2,98.4,100.0,80.0,74.0,82.0,100.0,47.2,72.4,0.0
84.4,94.0,98.8,80.0,73.0,82.0,97.6,44.0,71.2,0.0
73.2,93.2,99.2,75.0,73.0,80.0,89.6,11.2,71.2,0.0
60.4,90.0,96.0,4.0,1.0,4.0,0.0,0.0,2.4,0.0
0.8,37.2,60.0,63.0,49.0,67.0,60.8,6.4,46.0,0.0
32.0,68.8,91.6,70.0,61.0,67.0,84.8,11.6,51.2,0.0
90.8,97.2,100.0,69.0,57.0,71.0,68.0,20.4,59.2,0.0
